iter	Passed	Remaining
0	1	194
1	3	178
2	5	171
3	6	154
4	8	155
5	10	157
6	11	154
7	13	152
8	14	150
9	16	147
10	18	146
11	19	142
12	21	141
13	22	139
14	24	136
15	25	133
16	26	131
17	28	129
18	30	128
19	31	125
20	32	122
21	34	120
22	35	119
23	37	118
24	38	116
25	40	115
26	41	112
27	42	110
28	44	108
29	46	107
30	47	105
31	48	104
32	50	102
33	52	101
34	53	99
35	54	96
36	55	94
37	56	92
38	57	90
39	59	88
40	60	86
41	60	83
42	61	81
43	62	79
44	63	77
45	65	76
46	66	75
47	68	73
48	69	71
49	70	70
50	71	68
51	72	67
52	74	65
53	75	64
54	76	62
55	77	60
56	78	59
57	79	57
58	81	56
59	82	55
60	83	53
61	84	51
62	86	50
63	87	49
64	88	47
65	90	46
66	92	45
67	93	44
68	96	43
69	97	41
70	98	40
71	99	38
72	100	37
73	101	35
74	103	34
75	104	32
76	105	31
77	106	30
78	108	28
79	110	27
80	112	26
81	113	24
82	114	23
83	115	22
84	117	20
85	119	19
86	120	17
87	121	16
88	124	15
89	125	13
90	127	12
91	129	11
92	130	9
93	132	8
94	133	7
95	135	5
96	136	4
97	137	2
98	138	1
99	140	0
